name,run_dir,source_summary,data_root,max_files,lookback,y1_horizon,y2_horizon,entry_lag,label_clip_abs,label_transform,model_type,sample_mode,hidden_dim,learning_rate,stock_limit,max_steps,date_batch_size,lambda_mse,lambda_r2,lambda_alpha_corr,lambda_corr,lambda_to,dropout,weight_decay,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,validation_fold,validation_loss,validation_mse,validation_r2_residual,validation_turnover,alpha_orientation,alpha_rankic,alpha_oriented_rankic,alpha_abs_rankic,alpha_icir,alpha_oriented_icir,alpha_win_rate,alpha_oriented_win_rate,alpha_hit_rate,alpha_top_excess_mean,alpha_top_excess_median,alpha_top_excess_trimmed_mean,alpha_top_excess_max,alpha_top_excess_abs_gt_1_count,alpha_long_short_mean,alpha_long_short_median,alpha_long_short_trimmed_mean,alpha_long_short_max,alpha_long_short_abs_gt_1_count,alpha_top_excess_positive_rate,alpha_long_short_positive_rate,rough_top_excess_ann_11d,rough_long_short_ann_11d,rough_top_excess_ann_5d,rough_long_short_ann_5d,device,gru_layers,log_path,mean_abs_beta_rankic,mean_beta_abs_rankic
lightgbm_tabular_lr0.03_leaves31_est300_n1536_vf2_clip1,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/baselines/lightgbm_clip1_f52_20260705/lightgbm_tabular_lr0.03_leaves31_est300_n1536_vf2_clip1/20260705_055931,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/baselines/lightgbm_clip1_f52_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,lightgbm,tabular,,0.03,1536,300,0,,,,,,,0.0001,31,-1,100,0.8,0.8,0.0,1.0,2,0.013511050550625646,0.013511050550625646,,,1.0,0.11378160499552108,0.11378160499552108,0.14188802157699507,0.8812046375767595,0.8812046375767595,0.8254901960784313,0.8254901960784313,0.5381957209967321,0.04552754790284518,0.03810733469255925,0.04060517271363475,0.31374065190265865,0,0.06894362023603035,0.05649075131523559,0.06134118080269351,0.4406247253759719,0,0.8480392156862745,0.8725490196078431,1.0429947337742715,1.5794356635890587,2.294588414303397,3.4747584598959294,,,,,
h48_g2_lr0.0003_n1536_s2040_db2_vf2_mse5_r20.5_acorr0.15_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h48_tuned_cv_20260717/h48_g2_lr0.0003_n1536_s2040_db2_vf2_mse5_r20.5_acorr0.15_corr0.01_to0.01_do0.3_wd0.001/20260717_073709,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h48_tuned_cv_20260717/sweep_leaderboard_by_return.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,48,0.0003,1536,2040,2,5.0,0.5,0.15,0.01,0.01,0.3,0.001,,,,,,,,2,0.5230652621417653,,0.6567699344353933,0.0009514724717055466,1.0,0.13307305951290824,0.13307305951290824,0.15672815930915965,0.9310377999001009,0.9310377999001009,0.8382352941176471,0.8382352941176471,0.544912939133987,0.02670334711464398,0.01790903960834503,0.023028431293508463,0.22703940502237638,0,0.052338038345777306,0.03661016484133995,0.04650951668797997,0.42120208204745424,0,0.7843137254901961,0.8578431372549019,0.6117494066263893,1.1990168784668982,1.3458486945780566,2.637837132627176,cuda:2,2,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h48_tuned_cv_20260717/_logs/h48_g2_lr0.0003_n1536_s2040_db2_vf2_mse5_r20.5_acorr0.15_corr0.01_to0.01_do0.3_wd0.001.log,0.02480670999501743,0.12666633323729795
h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001/20260705_145551,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.00035,1536,800,2,5.0,0.5,0.3,0.01,0.01,0.3,0.001,,,,,,,,0,0.6150875098565045,0.016676935528441534,0.5277237332772975,0.001040602996249172,1.0,0.10867853750764964,0.10867853750764964,0.1564905338972519,0.6799925683021083,0.6799925683021083,0.7450980392156863,0.7450980392156863,0.5381855859081506,0.025797096130779306,0.01975898291267994,0.02454154750400255,0.1443259209959241,0,0.03801969715512258,0.03230020874411302,0.036588107129683044,0.2285155898578748,0,0.803921568627451,0.7843137254901961,0.5909880204505804,0.8709966984628081,1.3001736449912769,1.916192736618178,,,,,
h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.25_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.25_corr0.01_to0.01_do0.3_wd0.001/20260705_144459,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.00035,1536,800,2,5.0,0.5,0.25,0.01,0.01,0.3,0.001,,,,,,,,0,0.569785524086625,0.01652556570205728,0.5273543613141074,0.0010225672985303819,1.0,0.10759079445573785,0.10759079445573785,0.1558015897396486,0.6747102380423501,0.6747102380423501,0.7441176470588236,0.7441176470588236,0.5377528880508344,0.025599236122491032,0.019130400119145328,0.024219774218988247,0.15697116829553093,0,0.03815627816300689,0.03237078334312412,0.03646720812937085,0.2307985298248204,0,0.803921568627451,0.7745098039215687,0.5864552275334309,0.8741256451888851,1.290201500573548,1.9230764194155472,,,,,
h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.2_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.2_corr0.01_to0.01_do0.3_wd0.001/20260705_145631,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.00035,1536,800,2,5.0,0.5,0.2,0.01,0.01,0.3,0.001,,,,,,,,0,0.5245505001176806,0.016392989579232083,0.5269647174898315,0.001003717677325339,1.0,0.1068751729264012,0.1068751729264012,0.15502510992269175,0.6742063564700517,0.6742063564700517,0.7470588235294118,0.7470588235294118,0.5373976057846036,0.02552706077125607,0.018844058205056434,0.024126177894745807,0.1454002340831168,0,0.03800161236549013,0.033608019803129774,0.036524894307834926,0.22531677730890198,0,0.8186274509803921,0.7647058823529411,0.5848017558505936,0.8705823923730466,1.2865638628713059,1.9152812632207024,,,,,
h32_g2_lr0.0003_n1536_s800_db2_vf0_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.0003_n1536_s800_db2_vf0_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001/20260706_191350,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.0003,1536,800,2,5.0,0.5,0.3,0.01,0.01,0.3,0.001,,,,,,,,0,0.6155694870972166,0.016666882424432712,0.5281244452239252,0.0009963581330535531,1.0,0.10928618618169665,0.10928618618169665,0.1575976938360959,0.6802120827636836,0.6802120827636836,0.746078431372549,0.746078431372549,0.5381475693232426,0.02504040929215819,0.019055274738944847,0.023757787298664616,0.13851065108880317,0,0.03751895107126826,0.03293432639857245,0.036371894226863884,0.22478256142066938,0,0.803921568627451,0.7696078431372549,0.5736530128748968,0.8595250609054182,1.2620366283247728,1.8909551339919202,,,,,
h64_g2_lr0.0003_n1536_s2040_db2_vf2_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h64_tuned_cv_20260717/h64_g2_lr0.0003_n1536_s2040_db2_vf2_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001/20260717_080558,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h64_tuned_cv_20260717/sweep_leaderboard_by_return.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,64,0.0003,1536,2040,2,5.0,0.5,0.3,0.01,0.01,0.3,0.001,,,,,,,,2,0.6549952529809054,,0.6600747272518336,0.0010243355190979462,1.0,0.13785975069348116,0.13785975069348116,0.16355833077744727,0.9202542599140707,0.9202542599140707,0.8441176470588235,0.8441176470588235,0.5485370710784314,0.024926624896633436,0.016446955727431718,0.021742209120679618,0.20694802209816565,0,0.04744761111485083,0.03762636647123821,0.04328763844207869,0.45854013766589025,0,0.7794117647058824,0.8578431372549019,0.5710463158137842,1.08698163644931,1.2563018947903253,2.391359600188482,cuda:2,2,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_full_epoch_h64_tuned_cv_20260717/_logs/h64_g2_lr0.0003_n1536_s2040_db2_vf2_mse5_r20.5_acorr0.3_corr0.01_to0.01_do0.3_wd0.001.log,0.024550748202980446,0.11941787042031031
h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.15_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.00035_n1536_s800_db2_vf0_mse5_r20.5_acorr0.15_corr0.01_to0.01_do0.3_wd0.001/20260705_144457,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.00035,1536,800,2,5.0,0.5,0.15,0.01,0.01,0.3,0.001,,,,,,,,0,0.4793017534356491,0.01623855834306382,0.5264896609035192,0.0009953210476155885,1.0,0.10375222755654818,0.10375222755654818,0.1542302830763869,0.6503854446406087,0.6503854446406087,0.7352941176470589,0.7352941176470589,0.536204576229128,0.02486836450712029,0.019154812465615817,0.023598514201528326,0.14620877700565957,0,0.036575816276738934,0.0311482247991423,0.035180132638648685,0.23350957003986975,0,0.803921568627451,0.7598039215686274,0.5697116232540285,0.8379187001580192,1.2533655711588625,1.8434211403476422,,,,,
h32_g2_lr0.0003_n1536_s800_db2_vf0_mse5_r20.5_acorr0.25_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.0003_n1536_s800_db2_vf0_mse5_r20.5_acorr0.25_corr0.01_to0.01_do0.3_wd0.001/20260706_185633,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.0003,1536,800,2,5.0,0.5,0.25,0.01,0.01,0.3,0.001,,,,,,,,0,0.5703195605500072,0.01652649243033546,0.5277764595606748,0.0009832102363111963,1.0,0.10830808539331663,0.10830808539331663,0.15736527960959093,0.6736689321180146,0.6736689321180146,0.7431372549019608,0.7431372549019608,0.5377957431101852,0.02444637212409489,0.01861428620944494,0.02324259248628266,0.13980961805839184,0,0.03675407917282352,0.032452075742346605,0.03559339255696689,0.22729217514833153,0,0.803921568627451,0.7696078431372549,0.5600441613883557,0.8420025410501388,1.2320971550543827,1.8524055903103054,,,,,
h32_g2_lr0.0003_n1536_s800_db2_vf0_mse5_r20.5_acorr0.2_corr0.01_to0.01_do0.3_wd0.001,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/h32_g2_lr0.0003_n1536_s800_db2_vf0_mse5_r20.5_acorr0.2_corr0.01_to0.01_do0.3_wd0.001/20260706_190515,/mnt/sda1/datasets/quantitative_analysis/abcm_outputs/sweep_f52_focused_s800_h32_64_lr30_35_acorr15_30_20260705/partial_completed_return_summary.csv,/mnt/sda1/datasets/quantitative_analysis/testdata,52,60,11,21,1,1.0,,,,32,0.0003,1536,800,2,5.0,0.5,0.2,0.01,0.01,0.3,0.001,,,,,,,,0,0.5249965796721917,0.016373375207459663,0.5274086598233849,0.0009761425234518908,1.0,0.10682128292111233,0.10682128292111233,0.15672504776642704,0.6645875885159263,0.6645875885159263,0.7352941176470589,0.7352941176470589,0.5370478532034503,0.024230357836353127,0.018630319319004624,0.023029590342952773,0.1346100383674869,0,0.036594260579202474,0.03215079949713084,0.035306906836679405,0.23069696041526885,0,0.7990196078431373,0.7647058823529411,0.555095470432817,0.8383412423599111,1.2212100349521975,1.8443507331918045,,,,,
